source_id,title,pdf_page_number,default_detected_count,default_markdown_files,default_error,text_strategy_detected_count,text_strategy_markdown_files,text_strategy_error,layout_markdown_table_markers,layout_markdown_file,manual_has_table,manual_best_method,manual_readability,review_notes
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,13,0,,,0,,,0,src004_page_013.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,14,0,,,0,,,0,src004_page_014.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,15,0,,,0,,,0,src004_page_015.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",1,0,,,0,,,0,src005_page_001.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",2,0,,,0,,,0,src005_page_002.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",3,0,,,0,,,0,src005_page_003.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",4,0,,,0,,,0,src005_page_004.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",5,0,,,0,,,0,src005_page_005.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",6,0,,,0,,,0,src005_page_006.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",7,0,,,0,,,0,src005_page_007.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",8,0,,,0,,,0,src005_page_008.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",9,0,,,0,,,0,src005_page_009.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",10,0,,,0,,,0,src005_page_010.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",11,0,,,0,,,0,src005_page_011.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",12,0,,,0,,,0,src005_page_012.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",13,0,,,0,,,0,src005_page_013.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",14,0,,,0,,,0,src005_page_014.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",15,0,,,0,,,0,src005_page_015.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",16,0,,,0,,,0,src005_page_016.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",17,0,,,0,,,0,src005_page_017.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",18,0,,,0,,,0,src005_page_018.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",19,0,,,0,,,0,src005_page_019.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",20,0,,,0,,,0,src005_page_020.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",21,0,,,0,,,0,src005_page_021.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",22,0,,,0,,,0,src005_page_022.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",23,0,,,0,,,0,src005_page_023.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",24,0,,,0,,,0,src005_page_024.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",25,0,,,0,,,0,src005_page_025.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",26,0,,,0,,,0,src005_page_026.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",27,0,,,0,,,0,src005_page_027.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",28,0,,,0,,,0,src005_page_028.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",29,0,,,0,,,0,src005_page_029.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",30,1,src005_page_030_table_01.md,,1,src005_page_030_table_01.md,,1,src005_page_030.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",31,0,,,0,,,0,src005_page_031.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",32,0,,,0,,,0,src005_page_032.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",33,1,src005_page_033_table_01.md,,1,src005_page_033_table_01.md,,1,src005_page_033.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",34,1,src005_page_034_table_01.md,,1,src005_page_034_table_01.md,,1,src005_page_034.md,,,,
SRC005,"OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis",35,1,src005_page_035_table_01.md,,1,src005_page_035_table_01.md,,1,src005_page_035.md,,,,
